Rank,Team,Record,Points
1,Connecticut,20-1,1796
2,Duke,21-1,1723
3,Memphis,21-2,1637
4,Villanova,17-2,1570
5,Gonzaga,18-3,1499
6,Texas,19-3,1415
7,Florida,20-2,1376
8,George Washington,18-1,1188
9,West Virginia,17-4,1147
10,Illinois,20-3,1143
11,Tennessee,16-3,993
12,Michigan State,17-5,985
13,UCLA,19-4,914
14,Pittsburgh,17-3,911
15,Georgetown,16-4,870
16,North Carolina State,18-4,648
17,Boston College,17-5,634
18,Iowa,18-5,602
19,Ohio State,16-3,573
20,Oklahoma,14-5,287
21,Washington,16-5,264
22,Michigan,16-4,205
23,North Carolina,14-5,169
24,Indiana,13-6,161
25,Northern Iowa,20-4,117
