Rank,Team,Record,Points
1,Indiana,20-2,766
2,Florida,18-2,742
3,Michigan,20-2,690
4,Duke,19-2,683
5,Kansas,19-2,654
6,Gonzaga,21-2,614
7,Arizona,19-2,601
8,Michigan State,18-4,518
9,Syracuse,18-3,514
10,Ohio State,17-4,502
11,Miami (FL),17-3,485
12,Louisville,18-4,470
13,Creighton,20-3,369
14,Butler,18-4,325
15,Kansas State,17-4,314
16,New Mexico,19-3,295
17,Cincinnati,18-4,265
18,Minnesota,17-5,194
19,Oregon,18-4,179
20,Missouri,16-5,143
21,Georgetown,16-4,138
22,Wichita State,19-4,83
23,Ole Miss,17-4,69
24,Oklahoma State,15-5,57
25,Pittsburgh,18-5,54
