Rank,Team,Record,Points
1,Indiana,20-2,1615
2,Florida,18-2,1536
3,Michigan,20-2,1490
4,Duke,19-2,1413
5,Kansas,19-2,1350
6,Gonzaga,21-2,1249
7,Arizona,19-2,1248
8,Miami (FL),17-3,1132
9,Syracuse,18-3,1091
10,Ohio State,17-4,1033
11,Louisville,18-4,1018
12,Michigan State,18-4,994
13,Kansas State,17-4,782
14,Butler,18-4,774
15,New Mexico,19-3,660
16,Creighton,20-3,578
17,Cincinnati,18-4,552
18,Minnesota,17-5,454
19,Oregon,18-4,390
20,Georgetown,16-4,364
21,Missouri,16-5,245
22,Oklahoma State,15-5,235
23,Pittsburgh,18-5,207
24,Marquette,15-5,137
25,Notre Dame,18-4,132
