Rank,Team,Record,Points
1,Kansas,22-1,1613
2,Syracuse,23-1,1553
3,Kentucky,22-1,1514
4,Villanova,20-2,1366
5,West Virginia,19-3,1361
6,Purdue,19-3,1301
7,Georgetown,17-5,1211
8,Duke,19-4,1142
9,Kansas State,19-4,1139
10,Michigan State,19-5,968
11,Wisconsin,18-5,871
12,Tennessee,18-4,850
13,Ohio State,18-6,845
14,Texas,19-4,789
15,New Mexico,21-3,725
16,Gonzaga,19-4,693
17,Brigham Young,22-3,532
18,Butler,20-4,422
19,Northern Iowa,21-2,298
20,Georgia Tech,17-6,269
21,Temple,19-5,223
22,Vanderbilt,17-5,222
23,UNLV,19-4,209
24,Baylor,17-5,202
25,Pittsburgh,17-6,149
