Rank,Team,Record,Points
1,Illinois,25-0,1800
2,Kansas,20-1,1710
3,Kentucky,19-2,1592
4,North Carolina,20-3,1576
5,Wake Forest,21-3,1553
6,Boston College,20-1,1365
7,Duke,18-3,1348
8,Oklahoma State,19-3,1329
9,Syracuse,22-3,1219
10,Arizona,21-4,1140
11,Michigan State,17-4,1008
12,Louisville,21-4,965
13,Gonzaga,19-4,889
14,Utah,21-3,827
15,Washington,20-4,811
16,Alabama,19-4,737
17,Pittsburgh,17-4,717
18,Connecticut,15-6,602
19,Pacific,20-2,360
20,Wisconsin,16-6,342
21,Oklahoma,17-6,263
22,Maryland,15-7,231
23,Charlotte,17-4,225
24,Cincinnati,18-6,130
25,Villanova,14-6,118
