Rank,Team,Record,Points
1,Ohio State,24-0,1625
2,Kansas,22-1,1519
3,Texas,20-3,1509
4,Pittsburgh,21-2,1438
5,Duke,21-2,1341
6,San Diego State,23-1,1259
7,Brigham Young,22-2,1212
8,Notre Dame,19-4,1185
9,Villanova,19-4,1047
10,Connecticut,18-4,1040
11,Georgetown,18-5,1009
12,Syracuse,20-4,919
13,Wisconsin,17-5,790
14,Purdue,18-5,754
15,Arizona,20-4,630
16,Louisville,18-5,604
17,Florida,18-5,534
18,Kentucky,16-6,519
19,Missouri,18-5,511
20,North Carolina,17-5,461
21,Utah State,22-2,347
22,Texas A&M,17-5,231
23,Vanderbilt,16-6,128
24,Temple,17-5,110
25,West Virginia,15-7,93
