Rank,Team,Record,Points
1,Connecticut,20-1,761
2,Duke,21-1,749
3,Memphis,21-2,709
4,Villanova,17-2,677
5,Gonzaga,18-3,630
6,Florida,20-2,612
7,Texas,19-3,606
8,George Washington,18-1,505
9,Illinois,20-3,486
10,West Virginia,17-4,482
11,Michigan State,17-5,429
12,UCLA,19-4,410
13,Pittsburgh,17-3,384
14,Tennessee,16-3,380
15,North Carolina State,18-4,339
16,Georgetown,16-4,306
17,Ohio State,16-3,303
18,Boston College,17-5,271
19,Iowa,18-5,192
20,Oklahoma,14-5,175
21,Indiana,13-6,110
22,Michigan,16-4,98
23,Washington,16-5,93
24,North Carolina,14-5,81
25,Colorado,15-4,45
