Rank,Team,Record,Points
1,Connecticut,22-1,774
2,Oklahoma,23-1,735
3,North Carolina,21-2,711
4,Pittsburgh,21-2,689
5,Duke,20-3,604
6,UCLA,19-4,554
7,Louisville,18-4,553
8,Wake Forest,18-3,541
9,Michigan State,19-4,521
10,Memphis,20-3,486
11,Clemson,19-3,456
12,Marquette,20-3,446
13,Villanova,19-4,416
14,Xavier,20-3,375
15,Butler,21-2,346
16,Kansas,19-4,300
17,Utah State,23-1,258
18,Arizona State,18-5,214
19,Missouri,20-4,162
20,Illinois,19-5,143
21,Gonzaga,17-5,124
22,Syracuse,18-6,115
23,Purdue,17-6,114
24,Washington,17-6,86
25,Florida State,18-5,62
